ID,Area,Emirate,Branch,Branch Code
1,Al Barari,Dubai,Al Aweer,14
2,Al Barsha 1,Dubai,Barsha,17
3,Al Furjan,Dubai,Barsha,17
4,Al Khail Heights,Dubai,Barsha,17
5,Al Quoz 2,Dubai,Barsha,17
6,Al Sufouh 1,Dubai,Um Suqeim,18
7,Arabian Ranches,Dubai,Al Barsha South,30
8,Arabian Ranches 2,Dubai,Al Barsha South,30
9,Arjan,Dubai,Al Barsha South,30
10,Barsha Heights,Dubai,Barsha,17
11,DAMAC Hills,Dubai,Al Barsha South,30
12,Discovery Gardens,Dubai,Barsha,17
13,Downtown Jebel Ali,Dubai,Barsha,17
14,Dubai Hills Estate,Dubai,Al Barsha South,30
15,Dubai Industrial Park,Dubai,Al Barsha South,30
16,Dubai Internet City,Dubai,Um Suqeim,18
17,Dubai Investment Park-1,Dubai,Al Barsha South,30
18,Dubai Marina,Dubai,Um Suqeim,18
19,Dubai Media City,Dubai,Um Suqeim,18
20,Dubai Production City (IMPZ),Dubai,Al Barsha South,30
21,"Dubai Science Park, Dubai",Dubai,Al Barsha South,30
22,Dubai Sports City,Dubai,Al Barsha South,30
23,Dubai Studio City,Dubai,Al Barsha South,30
24,Dubai Waterfront,Dubai,Barsha,17
25,Dubai World Central,Dubai,Barsha,17
26,Emirates Golf Club,Dubai,Al Barsha South,30
27,Emirates Hills,Dubai,Barsha,17
28,Green Community,Dubai,Al Barsha South,30
29,Greens,Dubai,Barsha,17
30,Jebel Ali,Dubai,Barsha,17
31,Jumeirah Beach Residence,Dubai,Um Suqeim,18
32,Jumeirah Golf Estates,Dubai,Al Barsha South,30
33,Jumeirah Heights,Dubai,Barsha,17
34,Jumeirah Islands 1-2,Dubai,Barsha,17
35,Jumeirah Lake Towers,Dubai,Barsha,17
36,Jumeirah Park,Dubai,Barsha,17
37,Jumeirah Village Circle,Dubai,Al Barsha South,30
38,Jumeirah Village Triangle,Dubai,Barsha,17
39,Living Legends,Dubai,Al Aweer,14
40,Majan,Dubai,Al Aweer,14
41,Meadows,Dubai,Barsha,17
42,Mohammed Bin Rashid City - District 1,Dubai,Nad Al Sheba,26
43,Motor City,Dubai,Al Barsha South,30
44,Mudon,Dubai,Al Barsha South,30
45,Palm Jebel Ali,Dubai,Barsha,17
46,Palm Jumeirah,Dubai,Um Suqeim,18
47,Reem,Dubai,Al Barsha South,30
48,Remraam,Dubai,Al Barsha South,30
49,The Gardens,Dubai,Barsha,17
50,The Lakes,Dubai,Barsha,17
51,The Springs,Dubai,Barsha,17
52,The Sustainable City,Dubai,Al Barsha South,30
53,The Views,Dubai,Barsha,17
54,Town Square,Dubai,Al Barsha South,30
55,Umm Al Sheif,Dubai,Um Suqeim,18
56,Umm Hurair 1,Dubai,Al Wasl,12
57,Umm Suqeim 1,Dubai,Um Suqeim,18
58,Wadi Al Safa 2,Dubai,Al Aweer,14
59,Academic City,Dubai,Al Aweer,14
60,Al Aweer,Dubai,Al Aweer,14
61,Al Badaa,Dubai,Al Wasl,12
